Datetimecombined,original_Latitude,original_Longitude,Date,Time,datetime,Latitude,Longitude
06-12-2025 12:54:44,13.0189795,80.240732,2025-12-06,12:54:44,2025-12-06 12:54:44,13.018717418994996,80.24123250936198
06-12-2025 12:54:45,13.0189716666666,80.2408198333333,2025-12-06,12:54:45,2025-12-06 12:54:45,13.018848436704085,80.24126982749475
06-12-2025 12:54:46,13.0189906666666,80.2409208333333,2025-12-06,12:54:46,2025-12-06 12:54:46,13.018891719199864,80.24128215577461
06-12-2025 12:54:47,13.0189976666666,80.2398681666666,2025-12-06,12:54:47,2025-12-06 12:54:47,,
06-12-2025 12:54:48,13.0191378333333,80.2398818333333,2025-12-06,12:54:48,2025-12-06 12:54:48,,
06-12-2025 12:54:49,13.0191036666666,80.2408221666666,2025-12-06,12:54:49,2025-12-06 12:54:49,13.01895593736779,80.24130044723063
06-12-2025 12:54:50,13.0191463333333,80.2408826666666,2025-12-06,12:54:50,2025-12-06 12:54:50,13.019029441554267,80.24132084247165
06-12-2025 12:54:51,13.0190945,80.2411151666666,2025-12-06,12:54:51,2025-12-06 12:54:51,13.019038929624365,80.24132347513172
06-12-2025 12:54:52,13.0189893333333,80.2412526666666,2025-12-06,12:54:52,2025-12-06 12:54:52,13.018975163759343,80.2413057819854
06-12-2025 12:54:53,13.0191175,80.2413191666666,2025-12-06,12:54:53,2025-12-06 12:54:53,13.019111014822512,80.24134347665773
06-12-2025 12:54:54,13.0190668333333,80.2413623333333,2025-12-06,12:54:54,2025-12-06 12:54:54,13.019074562002478,80.2413333620691
06-12-2025 12:54:55,13.0191966666666,80.241392,2025-12-06,12:54:55,2025-12-06 12:54:55,13.01920324420962,80.2413692788443
06-12-2025 12:54:56,13.0192891666666,80.2415136666666,2025-12-06,12:54:56,2025-12-06 12:54:56,13.019320725148518,80.2414046525965
06-12-2025 12:54:57,13.0192265,80.2413776666666,2025-12-06,12:54:57,2025-12-06 12:54:57,13.019226868918887,80.24137639229029
06-12-2025 12:54:58,13.0194485,80.241467,2025-12-06,12:54:58,2025-12-06 12:54:58,13.019454829473919,80.24144498080481
06-12-2025 12:54:59,13.0197646666666,80.2414308333333,2025-12-06,12:54:59,2025-12-06 12:54:59,13.019734544335872,80.2415299057702
06-12-2025 12:55:00,13.0197081666666,80.2415321666666,2025-12-06,12:55:00,2025-12-06 12:55:00,13.01971110755104,80.24152249409698
06-12-2025 12:55:01,13.0197436666666,80.2415313333333,2025-12-06,12:55:01,2025-12-06 12:55:01,13.019743262451632,80.24153266279654
